hospital_name,doctor_name,qualification,specialization,doctor_phone,doctor_email,doctors_age,yoe,hospital_exact_location,disease_related,gender,available_for_online_consultation,avialable_slots,ratings(out_of_5),consultation_fee
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Rohit Thakur,MBBS,General Surgeon,+91-9022316527,rohit.thakur437@medmail.com,36,,"Pakka Bharor, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,403
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Arun Gupta,"MBBS, MCh",Gynecologist,+91-8499689089,arun.gupta55@medmail.com,65,,"Krishna Nagar, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,553
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Rohit Thakur,MBBS,Dermatologist,+91-7429859246,rohit.thakur238@medmail.com,30,,"Main Market, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,1435
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Rahul Verma,"MBBS, MCh",Pediatrician,+91-9843956426,rahul.verma143@medmail.com,48,,"Main Market, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,809
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Naveen Kashyap,"MBBS, DM",ENT Specialist,+91-9903792667,naveen.kashyap606@medmail.com,63,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,398
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Arun Mahajan,"MBBS, DM",Eye Specialist,+91-8872826911,arun.mahajan384@medmail.com,44,,"Krishna Nagar, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,452
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Ritu Rana,"MBBS, MD",Eye Specialist,+91-9139392700,ritu.rana650@medmail.com,47,,"Dugha, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1213
"Regional (District) Ayurvedic Hospital, Hamirpur",Dr. Anjali Verma,"MBBS, MS",Dermatologist,+91-7811563289,anjali.verma393@medmail.com,54,,"Main Market, Hamirpur",Skin Problems,Female,No,4:00 PM - 8:00 PM,3.0,1177
Nav Bharati Clinic,Dr. Meena Verma,MBBS,Dermatologist,+91-7189692790,meena.verma33@medmail.com,55,,"Sujanpur Tira, Hamirpur",Skin Problems,Female,No,4:00 PM - 8:00 PM,3.0,637
Nav Bharati Clinic,Dr. Suresh Thakur,MBBS,General Surgeon,+91-9971020089,suresh.thakur204@medmail.com,50,,"Main Market, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,1121
Nav Bharati Clinic,Dr. Naveen Thakur,"MBBS, MS",Dermatologist,+91-7982595005,naveen.thakur302@medmail.com,56,,"Main Market, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,1486
Nav Bharati Clinic,Dr. Neha Rana,MBBS,Eye Specialist,+91-9008928898,neha.rana974@medmail.com,42,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1256
Nav Bharati Clinic,Dr. Ritu Thakur,MBBS,Pediatrician,+91-7655230319,ritu.thakur818@medmail.com,38,,"Pakka Bharor, Hamirpur",Child Health Issues,Female,No,4:00 PM - 8:00 PM,3.0,460
Nav Bharati Clinic,Dr. Deepak Jaiswal,"MBBS, MS",Gynecologist,+91-9595294701,deepak.jaiswal140@medmail.com,51,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1100
Nav Bharati Clinic,Dr. Pooja Gupta,"MBBS, MCh",Eye Specialist,+91-7352156351,pooja.gupta301@medmail.com,38,,"Dugha, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,697
Nav Bharati Clinic,Dr. Suresh Gupta,"MBBS, DM",Cardiologist,+91-8415512263,suresh.gupta595@medmail.com,55,,"Sujanpur Tira, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,1115
Nav Bharati Clinic,Dr. Priya Bhardwaj,"MBBS, MCh",Cardiologist,+91-7338804775,priya.bhardwaj969@medmail.com,50,,"Near Bypass Road, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,1458
Nav Bharati Clinic,Dr. Sheetal Rana,"MBBS, DM",ENT Specialist,+91-9735791406,sheetal.rana47@medmail.com,45,,"Pakka Bharor, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,700
Nav Bharati Clinic,Dr. Raghav Verma,"MBBS, MCh",Pediatrician,+91-7145999135,raghav.verma88@medmail.com,50,,"Krishna Nagar, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,939
Lady Willnagton Hospital,Dr. Amit Jaiswal,"MBBS, MD",Oncologist,+91-7990745457,amit.jaiswal686@medmail.com,57,,"Krishna Nagar, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1356
Lady Willnagton Hospital,Dr. Naveen Kashyap,"MBBS, MD",Cardiologist,+91-8780946119,naveen.kashyap538@medmail.com,30,,"Krishna Nagar, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,987
Lady Willnagton Hospital,Dr. Raghav Singh,"MBBS, MD",Gynecologist,+91-9075893019,raghav.singh723@medmail.com,36,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,759
Lady Willnagton Hospital,Dr. Neha Bhardwaj,"MBBS, MS",General Surgeon,+91-7980970872,neha.bhardwaj147@medmail.com,49,,"Krishna Nagar, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,1254
Lady Willnagton Hospital,Dr. Amit Mahajan,"MBBS, MD",Oncologist,+91-7012546925,amit.mahajan857@medmail.com,52,,"Pakka Bharor, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,769
Lady Willnagton Hospital,Dr. Amit Kapoor,MBBS,Gynecologist,+91-7473884211,amit.kapoor390@medmail.com,46,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1345
Lady Willnagton Hospital,Dr. Sonal Kapoor,MBBS,Pediatrician,+91-8557792519,sonal.kapoor192@medmail.com,32,,"Near Bypass Road, Hamirpur",Child Health Issues,Female,No,4:00 PM - 8:00 PM,3.0,1049
Lady Willnagton Hospital,Dr. Karan Rana,"MBBS, MS",Dermatologist,+91-7517030907,karan.rana767@medmail.com,54,,"Pakka Bharor, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,337
Lady Willnagton Hospital,Dr. Shalini Verma,MBBS,Cardiologist,+91-7471088563,shalini.verma953@medmail.com,43,,"Krishna Nagar, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,529
Lady Willnagton Hospital,Dr. Arun Kapoor,"MBBS, MCh",General Surgeon,+91-9877597105,arun.kapoor306@medmail.com,53,,"Near Bypass Road, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,862
Lady Willnagton Hospital,Dr. Priya Kapoor,"MBBS, MCh",Oncologist,+91-9468048577,priya.kapoor185@medmail.com,53,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,737
Lady Willnagton Hospital,Dr. Sheetal Gupta,"MBBS, MS",General Surgeon,+91-9419654475,sheetal.gupta396@medmail.com,42,,"Dugha, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,326
Lady Willnagton Hospital,Dr. Deepak Sharma,"MBBS, MS",Cardiologist,+91-9648965321,deepak.sharma841@medmail.com,65,,"Sujanpur Tira, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,525
Lady Willnagton Hospital,Dr. Harsh Mahajan,"MBBS, DM",Eye Specialist,+91-8831112504,harsh.mahajan335@medmail.com,35,,"Sujanpur Tira, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1097
Lady Willnagton Hospital,Dr. Naveen Thakur,MBBS,Neurologist,+91-9799416982,naveen.thakur866@medmail.com,35,,"Near Bypass Road, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,583
Lady Willnagton Hospital,Dr. Neha Verma,"MBBS, MCh",Neurologist,+91-9400396161,neha.verma685@medmail.com,48,,"Sujanpur Tira, Hamirpur",Brain Disorders,Female,No,4:00 PM - 8:00 PM,3.0,1178
Lady Willnagton Hospital,Dr. Manish Verma,MBBS,Dermatologist,+91-8715630057,manish.verma265@medmail.com,49,,"Sujanpur Tira, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,1259
Lady Willnagton Hospital,Dr. Naveen Chauhan,"MBBS, DM",Gynecologist,+91-8902733052,naveen.chauhan294@medmail.com,48,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,752
Lady Willnagton Hospital,Dr. Vikas Rana,"MBBS, MS",Eye Specialist,+91-8911152202,vikas.rana468@medmail.com,65,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1319
Lady Willnagton Hospital,Dr. Karan Gupta,"MBBS, DM",Gynecologist,+91-9254261750,karan.gupta737@medmail.com,34,,"Krishna Nagar, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1115
Lady Willnagton Hospital,Dr. Naveen Bhardwaj,"MBBS, MCh",Orthopedic Surgeon,+91-7550759131,naveen.bhardwaj985@medmail.com,42,,"Near Bypass Road, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,958
Govt Hospital,Dr. Sonal Kapoor,MBBS,Cardiologist,+91-8931946140,sonal.kapoor132@medmail.com,40,,"Dugha, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,846
Govt Hospital,Dr. Meena Kashyap,"MBBS, MD",Gynecologist,+91-8491445894,meena.kashyap950@medmail.com,46,,"Pakka Bharor, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1372
Govt Hospital,Dr. Neha Sharma,MBBS,Oncologist,+91-8502134218,neha.sharma170@medmail.com,40,,"Krishna Nagar, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,316
Govt Hospital,Dr. Alka Rana,"MBBS, MCh",Dermatologist,+91-7183858392,alka.rana303@medmail.com,53,,"Sujanpur Tira, Hamirpur",Skin Problems,Female,No,4:00 PM - 8:00 PM,3.0,1495
Govt Hospital,Dr. Harsh Rana,"MBBS, MD",Cardiologist,+91-9190887775,harsh.rana21@medmail.com,57,,"Dugha, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,457
Govt Hospital,Dr. Vikas Gupta,"MBBS, DM",Orthopedic Surgeon,+91-9164717937,vikas.gupta61@medmail.com,45,,"Sujanpur Tira, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,776
Govt Hospital,Dr. Shalini Chauhan,"MBBS, MD",Cardiologist,+91-7860152961,shalini.chauhan281@medmail.com,65,,"Main Market, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,1369
Govt Hospital,Dr. Arun Thakur,MBBS,Pediatrician,+91-8687018621,arun.thakur842@medmail.com,50,,"Near Bypass Road, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,817
Govt Hospital,Dr. Meena Jaiswal,"MBBS, MCh",Oncologist,+91-7466036633,meena.jaiswal490@medmail.com,39,,"Main Market, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,398
Govt Hospital,Dr. Amit Sharma,"MBBS, MS",Orthopedic Surgeon,+91-7135088244,amit.sharma243@medmail.com,64,,"Sujanpur Tira, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,1360
Govt Hospital,Dr. Ritu Jaiswal,MBBS,General Surgeon,+91-7965134994,ritu.jaiswal202@medmail.com,38,,"Sujanpur Tira, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,579
Govt Hospital,Dr. Neha Gupta,"MBBS, MCh",Eye Specialist,+91-8984871248,neha.gupta910@medmail.com,54,,"Dugha, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,796
Govt Hospital,Dr. Sonal Gupta,"MBBS, DM",General Surgeon,+91-9403803629,sonal.gupta44@medmail.com,50,,"Dugha, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,601
Govt Hospital,Dr. Amit Thakur,"MBBS, MS",General Surgeon,+91-7811135702,amit.thakur674@medmail.com,44,,"Krishna Nagar, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,480
Krishana Hospital,Dr. Alka Verma,"MBBS, MCh",Gynecologist,+91-9599244390,alka.verma402@medmail.com,37,,"Pakka Bharor, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,906
Krishana Hospital,Dr. Alka Jaiswal,"MBBS, MCh",Pediatrician,+91-7035927985,alka.jaiswal750@medmail.com,38,,"Pakka Bharor, Hamirpur",Child Health Issues,Female,No,4:00 PM - 8:00 PM,3.0,1422
Krishana Hospital,Dr. Shalini Jaiswal,"MBBS, MD",Eye Specialist,+91-8853906667,shalini.jaiswal58@medmail.com,31,,"Sujanpur Tira, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,999
Krishana Hospital,Dr. Priya Jaiswal,"MBBS, DM",Cardiologist,+91-9160815430,priya.jaiswal435@medmail.com,37,,"Dugha, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,1292
Krishana Hospital,Dr. Sonal Singh,"MBBS, DM",Orthopedic Surgeon,+91-8944939743,sonal.singh645@medmail.com,47,,"Krishna Nagar, Hamirpur",Bone & Joint Problems,Female,No,4:00 PM - 8:00 PM,3.0,1439
Krishana Hospital,Dr. Anjali Jaiswal,"MBBS, DM",Gynecologist,+91-9015219937,anjali.jaiswal895@medmail.com,32,,"Pakka Bharor, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,490
Krishana Hospital,Dr. Ritu Verma,"MBBS, MD",General Surgeon,+91-7393054220,ritu.verma651@medmail.com,35,,"Pakka Bharor, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,552
Krishana Hospital,Dr. Alka Rana,"MBBS, MCh",Gynecologist,+91-8647639848,alka.rana666@medmail.com,31,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1280
Krishana Hospital,Dr. Suresh Singh,MBBS,Eye Specialist,+91-8457308985,suresh.singh41@medmail.com,52,,"Sujanpur Tira, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1227
Krishana Hospital,Dr. Meena Verma,"MBBS, MS",General Surgeon,+91-9502194330,meena.verma639@medmail.com,53,,"Dugha, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,1484
Krishana Hospital,Dr. Karan Bhardwaj,MBBS,Pediatrician,+91-7412045121,karan.bhardwaj71@medmail.com,49,,"Near Bypass Road, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,427
Krishana Hospital,Dr. Rohit Mahajan,"MBBS, MD",Gynecologist,+91-9008714290,rohit.mahajan40@medmail.com,39,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,317
Krishana Hospital,Dr. Meena Singh,"MBBS, MCh",Dermatologist,+91-9991291606,meena.singh475@medmail.com,40,,"Main Market, Hamirpur",Skin Problems,Female,No,4:00 PM - 8:00 PM,3.0,865
Krishana Hospital,Dr. Sheetal Kashyap,MBBS,Dermatologist,+91-7843578340,sheetal.kashyap989@medmail.com,45,,"Main Market, Hamirpur",Skin Problems,Female,No,4:00 PM - 8:00 PM,3.0,869
Krishana Hospital,Dr. Meena Bhardwaj,"MBBS, MS",Eye Specialist,+91-9373632496,meena.bhardwaj506@medmail.com,63,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,985
Krishana Hospital,Dr. Rahul Singh,MBBS,Orthopedic Surgeon,+91-8340231437,rahul.singh344@medmail.com,51,,"Main Market, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,925
Krishana Hospital,Dr. Rahul Kapoor,"MBBS, MS",Gynecologist,+91-8826786000,rahul.kapoor473@medmail.com,43,,"Main Market, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1153
Krishana Hospital,Dr. Harsh Thakur,"MBBS, MD",Oncologist,+91-8565600936,harsh.thakur697@medmail.com,32,,"Sujanpur Tira, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1261
Krishana Hospital,Dr. Anjali Chauhan,"MBBS, MCh",Gynecologist,+91-9200405324,anjali.chauhan118@medmail.com,35,,"Dugha, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,454
Krishana Hospital,Dr. Pooja Mahajan,MBBS,Neurologist,+91-9787365588,pooja.mahajan60@medmail.com,53,,"Krishna Nagar, Hamirpur",Brain Disorders,Female,No,4:00 PM - 8:00 PM,3.0,789
Krishana Hospital,Dr. Pooja Sharma,"MBBS, MS",ENT Specialist,+91-8936024095,pooja.sharma264@medmail.com,39,,"Krishna Nagar, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1084
